,sentences
1398,There were no deaths during Part B of the trial.
1399,"For more information about serious adverse events in this study, please refer to the full scientific summary of the results available on the Novartis Clinical Trial Results website (www.novctrd.com)."
1401,The table below shows the most common non-serious adverse events (in at least 10% of participants in Part A and in at least 13% of participants in Part B) in this trial.
1402,"Most Common Non-Serious Adverse Events in this Trial Part A (Reported by about 10% of Participants or at least 15 participants out of 150) Part B (Reported by about 13% of Participants or at least 1 participant out of 8) Related to the eye Conjunctival hemorrhage (bright red patch appearing in the white of the eye beneath the clear lining of the eye) Eye floaters Eye pain The feeling of having something foreign in the eye Eye irritation Vitreous detachment (separation of the gel that fills the back of the eye from the retina) Conjunctival hemorrhage (bright red patch appearing in the white of the eye beneath the clear lining of the eye) Eye floaters Abnormal tests on visual sharpness Blurred vision Retinal hemorrhage (bleeding in the retina) Corneal dystrophy (abnormal material collects in the outer layer of the eye) Charles Bonnet syndrome (visual hallucinations in people with vision loss) Not related to the eye Infection in the nose, throat, and upper airways (upper respiratory tract infection) High blood pressure Infection of the nose, throat, and airways Muscle weakness High cholesterol Acid reflux disease Falling Bruising Atrial fibrillation (an irregular, rapid heart rate) For a full list of the adverse events that occurred in this study, please refer to the full scientific summary of the results available on the Novartis Clinical Trial Results website (www.novctrd.com)."
1408,"After agreeing to enter the Novartis website, type CLFG316A2203 into the keyword search box and click Search ."
1410,"Official trial title: A multicenter, randomized, sham-control, proof-of-concept study of intravitreal LFG316 in patients with geographic atrophy associated with age-related macular degeneration This trial was registered on Clinicaltrials.gov - National Clinical Trial # NCT01527500."
1411,"Trial Results Summary v1 10/2016 Thank you It is said that the greatest gift is one which is given anonymously, giving when you do not know whether you will get direct personal benefit."
1415,The Center for Information & Study on Clinical Research Participation (CISCRP) is a non- profit organization focused on educating and informing the public about clinical research participation.
1420,"Thank you for taking part in the clinical trial for the drug VAY736, also called ianalumab."
1421,"You and all of the participants helped researchers learn more about how VAY736 works in people with primary Sj gren s syndrome, also called PSS."
1427,You were in this trial for up to 3 years.
1428,"But, the entire trial lasted about 3.5 years."
1430,The trial started in May 2014 and ended in February 2018.
1431,The trial included 27 participants from a trial site in Germany.
1435,Researchers are looking for a better way to treat people who have PSS.
1436,"Before a drug can be approved for patients, researchers do clinical trials to find out how safe it is and how well it works."
1437,The information collected from many clinical trials is needed to find out if VAY736 improves the health of people with PSS.
1438,"In people with PSS, the body s immune system is overactive."
1439,"When that happens, the immune system attacks the body, including the glands that make fluids like tears, saliva, or sweat."
1440,"People with PSS have dryness of the mouth, eyes, and other areas."
1441,They also have pain and tiredness that severely affect their daily lives.
1442,"Research Sponsor: Novartis Drug Studied: VAY736 (ianalumab) Protocol Number: CVAY736X2201 Clinical Trial Results 1 2 Clinical Trial Results In this trial, the researchers wanted to find out if VAY736 works in a small number of participants with PSS."
1443,They also wanted to find out about the safety of VAY736 in participants with PSS.
1444,"To do this, the researchers compared VAY736 with a placebo."
1447,The main questions the researchers wanted to answer in this trial were: Did VAY736 make the participants PSS symptoms less severe?
1448,Did the participants feel that other aspects of their PSS changed after getting VAY736?
1449,Did the trial doctors think the participants overall health changed after taking VAY736?
1450,How long and at what level was VAY736 in the participants blood?
1453,"To answer the questions in this trial, the researchers asked for the help of men and women with PSS."
1454,The participants in this trial were 25 to 70 years old.
1456,This means that each participant got only 1 dose of the trial drug.
1457,Different groups of participants were given different doses of VAY736.
1458,The researchers checked to make sure that the dose was safe before giving the next higher dose to the next group of participants.
1459,This trial was done in 2 time periods.
1460,The first 24 weeks of the trial was the double-blind period.
1461,"This means none of the participants, trial staff, or sponsor staff knew what trial drug each participant got."
1462,Some trials are done this way because knowing what trial drug the participants are getting can affect the results of the trial.
1464,A computer program was used to randomly assign the trial drug each participant got during the double-blind period.
1465,Researchers do this so that comparing the results of each trial drug is done as fairly as possible.
1466,"After 24 weeks, the participants, trial staff, and sponsor staff found out what treatment each participant got during the double-blind period."
1467,The participants who got the placebo during the double-blind period were given the choice to get a single dose of VAY736.
1468,The rest of this trial was open-label .
1469,"This means the participants, trial staff, and sponsor staff knew the treatment each participant received."
1470,All participants stayed in the open-label period until their B cell levels returned to normal.
1471,"3 Clinical Trial Results When the trial ended, the sponsor created a report of the trial results."
1474,"Before treatment started, the participants visited the trial site 2 times."
1475,The trial doctors did tests and checked the health of the participants to make sure they could take part in the trial.
1476,"During the double-blind period, the participants got a single dose of drug through a needle into a vein."
1477,"This is called an intravenous dose, also called an IV dose."
1478,"The dose each participant got was measured in milligrams per kilogram of body weight, also called mg/kg."
1479,"The participants got 1 of 3 treatments: 6 participants got 3 mg/kg of VAY736 12 participants got 10 mg/kg of VAY736 9 participants got the placebo After getting the single dose, the participants visited the trial site at least 10 times over 24 weeks."
1480,"Throughout the entire trial, the trial doctors took blood, urine, and saliva samples and checked the participants PSS symptoms and overall health."
1481,"At some of these visits, the participants filled out questionnaires about their PSS symptoms and had their B cell levels checked."
1482,"After the first 24 weeks of the trial, participants who got the placebo in the double-blind period had the choice to restart the trial, and get a single 10 mg/kg dose of VAY736."
1483,"After the double-blind period finished: 6 participants out of 18 who got any dose of VAY736 in the double-blind period finished the trial within 24 weeks 12 participants out of 18 who got any dose of VAY736 in the double-blind period stayed in the trial because their B cell levels did not return to normal after 24 weeks Of the 9 participants who got the placebo: 4 participants finished the trial after the double-blind period ended 5 participants chose to get a single, open-label dose of 10 mg/kg VAY736 The 5 participants who got open-label VAY736 kept visiting the trial site because their B cells did not return to normal within 24 weeks of getting VAY736."
1484,"4 Clinical Trial Results After treatment, the trial doctors took more blood, urine, and saliva samples and checked the participants PSS symptoms and overall health."
1485,The participants filled out questionnaires about their primary Sj gren s syndrome symptoms and had their B cell levels checked.
1486,The graphic below shows how the trial was done.
1487,"24 weeks Double-blind period 27 participants Open-label treatment Open-label period After treatment The participants did not get any VAY736 The participants stayed in the trial until the B cell levels in their blood returned to normal Once B cell levels returned to normal, the participants visited the trial site 1 more time 6 participants got 3 mg/kg 12 participants got 10 mg/kg 9 participants 27 participants 5 participants got 10 mg/kg VAY736 24 weeks Placebo VAY736 What were the results of the trial?"
1493,"For more information about the results of this trial, please see the scientific summary that can be found on the website noted at the end of this summary."
1494,Did VAY736 make the participants PSS symptoms less severe?
1495,"After 12 weeks, there were slight reductions in the participants PSS symptoms in all treatment groups."
1496,The researchers were more interested in the difference between VAY736 and the placebo than in the difference between the 2 VAY736 doses.
1497,"So, the researchers combined the 2 VAY736 treatment groups into 1 group when looking at the results."
1498,There was a slightly larger reduction in PSS symptoms for the participants who got VAY736 compared to the participants who got the placebo.
1499,"But, the differences between the treatment groups were too small for the researchers to know if they were caused by the trial drug."
1500,5 Clinical Trial Results The researchers wanted to know if VAY736 made the participants PSS symptoms less severe.
1501,"To find out, the trial doctors measured how severe the participants PSS symptoms were before getting the trial drug, and 12 weeks after getting the trial drug."
1502,"They did this using the EULAR Sj gren s Syndrome Disease Activity Index, also called the ESSDAI."
1503,Lower scores meant the PSS symptoms were less severe.
1504,The researchers looked at the data after 12 weeks to decide whether or not to continue the trial.
1505,"The researchers learned that after 12 weeks, on average: The PSS symptoms in the participants who got VAY736 decreased by 2.3 points."
1506,The PSS symptoms in the participants who got the placebo decreased by 0.9 points.
1508,How much the patients PSS symptoms decreased Total VAY736 Placebo 5.0 4.0 3.0 2.0 1.0 0 C ha ng e in p oi nt s 2.3 0.9 Did the participants feel that other aspects of their PSS changed after getting VAY736?
1509,"Overall, the participants in all treatment groups felt that their PSS symptoms changed after 12 weeks."
1510,"But, some of the differences between the treatment groups were too small for the researchers to know if these differences were caused by the trial drug."
1511,The researchers wanted to know if VAY736 changed the participants PSS symptoms throughout the trial.
1512,"To find out, they used 4 questionnaires."
1513,6 Clinical Trial Results The table below shows what these questionnaires are.
1514,"Name Description What the score shows EULAR Sj gren s Syndrome Patient Reported Index (also called the ESSPRI) Measured how severe the participants main PSS symptoms of pain, dryness, and tiredness were during the trial A low score in the ESSPRI meant the participants PSS symptoms were less severe Multidimensional Fatigue Inventory (also called the MFI) Measured the participants tiredness A low score in the MFI meant the participants were less tired Patient Global Assessment version of the Visual Analog Scale (also called the VAS) Measured the participants overall condition A low score in the Patient Global Assessment VAS meant the participant had a healthier overall condition 36-Item Short Form Health Survey (also called the SF-36) Measured the participants physical, emotional, and social well-being A high score in the SF-36 meant the participants had a healthier well-being Overall, the scores showed that the participants who got VAY736 or the placebo had fewer PSS symptoms after getting the study treatment."
1515,Some of these effects lasted longer than 12 weeks for participants who got 10 mg/kg of VAY736.
1516,The participants who got 10 mg/kg of VAY736 generally had larger differences than participants who got 3 mg/kg compared to the placebo.
1517,"But, the differences between the treatment groups were too small for the researchers to know if these differences were caused by the trial drug."
1518,Did the trial doctors think the participants overall health changed after getting VAY736?
1520,The trial doctors thought that the participants overall health changed after getting VAY736.
1521,"To answer this question, the trial doctors filled out the doctor s version of the VAS before each participant got the trial drug, and 12 weeks after they got the trial drug."
1522,A decrease in the participants VAS scores after 12 weeks showed that the participants overall condition was getting healthier.
1523,The researchers compared the results from the participants who got VAY736 with the results from the participants who got the placebo.
1524,They found that there was a bigger decrease in the trial doctors VAS scores for the participants who got VAY736 compared with the VAS scores for the participants who got the placebo.
1525,7 Clinical Trial Results How long and at what level was VAY736 in the participants blood?
1526,"To answer this question, the trial doctors took blood samples from the participants after they got a single dose of VAY736."
1527,The trial doctors did this over the course of the entire trial.
1528,The researchers wanted to know about how long VAY736 was in the participants blood.
1529,"The researchers found that: For all treatments, it took about 2 hours for VAY736 to reach its highest level in the blood."
1530,This was at the end of the infusion.
1531,The researchers also wanted to know about how much VAY736 got into the participants blood.
1532,"The researchers found that: Overall, higher amounts of VAY736 were in the blood of participants that got 10 mg/kg compared to those who got 3 mg/kg."
1536,"An adverse event is considered serious when it is life threatening, causes lasting problems, or the participant needs hospital care."
1537,These adverse events may or may not be caused by the trial drug.
1538,A lot of research is needed to know whether a trial drug causes an adverse event.
1540,"So, when new drugs are being studied, researchers keep track of all adverse events that participants have."
1541,This section is a summary of the adverse events that happened during both parts of this trial.
1543,Most of the participants in the trial had at least 1 adverse event.
1544,Most of the adverse events happened within the first 24 hours of getting the trial drug.
1545,None of the participants in the trial stopped getting the trial drug because of adverse events.
1546,8 Clinical Trial Results The table below shows how many participants had adverse events during the double-blind period of this trial.
1547,Adverse events during the double-blind period Placebo (Out of 9 participants) VAY736 (Out of 18 participants) Total (Out of 27 participants) How many participants in this trial had adverse events?
1548,88.9% (8) 94.4% (17) 92.6% (25) How many participants in this trial had serious adverse events?
1549,11.1% (1) 5.6% (1) 7.4% (2) The table below shows how many participants had adverse events during the open-label period of this trial.
1550,Adverse events during the open-label period Adverse event Placebo (Out of 4 participants) VAY736 (Out of 18 participants) Open-label VAY736 (Out of 5 participants) Total (Out of 27 participants) How many participants in this trial had adverse events?
1551,25.0% (1) 50.0% (9) 100.0% (5) 55.6% (15) How many participants in this trial had serious adverse events?
1552,0.0% (0) 5.6% (1) 20.0% (1) 7.4% (2) 9 Clinical Trial Results What were the most common serious adverse events?
1553,A total of 5 serious adverse events happened in 4 participants.
1554,The serious adverse events that happened during this trial were: Fluid-filled sac in the ovary Groin hernia Inflammation of the appendix Jaw fracture Long-term inflammation of the large intestine None of the participants died during this trial.
1556,"The most common adverse event that happened in the participants during the double-blind period was a reaction from getting the trial drug through an IV, also called an infusion- related reaction."
1557,This adverse event happened in 83.3% of the participants who got any dose of VAY736.
1558,This was 15 out of 18 participants.
1559,This adverse event also happened in 11.1% of the participants who got the placebo.
1560,This was 1 out of 9 participants.
1561,10 Clinical Trial Results The table below shows the most common adverse events that happened in 2 or more total participants during the double-blind period.
1563,Most common adverse events during the double-blind period Adverse event Placebo (Out of 9 participants) VAY736 (Out of 18 participants) Total (Out of 27 participants) Infusion-related reaction 11.1% (1) 83.3% (15) 59.3% (16) Common cold 11.1% (1) 33.3% (6) 25.9% (7) Headache 22.2% (2) 16.7% (3) 18.5% (5) Chest pain not related to the heart 22.2% (2) 0.0% (0) 7.4% (2) Flu 0.0% (0) 11.1% (2) 7.4% (2) Infection in the stomach or intestines 11.1% (1) 5.6% (1) 7.4% (2) Pain in the mouth and throat 11.1% (1) 5.6% (1) 7.4% (2) Rash 11.1% (1) 5.6% (1) 7.4% (2) Sinus infection 11.1% (1) 5.6% (1) 7.4% (2) Tooth infection 11.1% (1) 5.6% (1) 7.4% (2) The most common adverse event that happened in the participants during the open-label period was the common cold.
1564,This adverse event happened in 33.3% of total participants.
1565,This was 9 out of 27 participants.
1566,11 Clinical Trial Results The table below shows the most common adverse events that happened in 2 or more total participants during the open-label period.
1568,"Most common adverse events during the open-label period Adverse event Placebo (Out of 4 participants) VAY736 (Out of 18 participants) Open-label VAY736 (Out of 5 participants) Total (Out of 27 participants) Common cold 25.0% (1) 16.7% (3) 100.0% (5) 33.3% (9) Infusion-related reaction 0.0% (0) 0.0% (0) 60.0% (3) 11.1% (3) Headache 0.0% (0) 5.6% (1) 20.0% (1) 7.4% (2) Infection of the middle ear 0.0% (0) 5.6% (1) 20.0% (1) 7.4% (2) Pink eye 0.0% (0) 5.6% (1) 20.0% (1) 7.4% (2) PSS getting worse 0.0% (0) 5.6% (1) 20.0% (1) 7.4% (2) For more information about the adverse events in this trial, please see the scientific summary that can be found on the websites noted at the end of this summary."
1569,How has this trial helped participants and researchers?
1570,The results of this trial helped researchers better understand if VAY736 works in participants with PSS.
1571,The results from many trials are needed to find out which treatments can be used for people with PSS.
1573,This was the first time that participants with PSS got VAY736.
1574,This trial was done in a small number of participants.
1576,"If other trials with VAY736 in participants with PSS are planned, you will be able to find them on the websites listed below."
1585,"After agreeing to enter the Novartis website, type CVAY736X2201 into the keyword search box and click Search ."
1587,You can find more information about this trial on the websites listed below: www.clinicaltrials.gov.
1588,"Once you are on the website, type NCT02149420 into the Other terms search box and click Search ."
1590,"Once you are on the website, click Home and Search , then type 2013-000250-22 in the search box and click Search ."
1591,"If more clinical trials are planned, they will be listed on the above public website or www.novartisclinicaltrials.com."
1592,Search for VAY736 or ianalumab .
1593,"Full Trial Title: A single dose, double-blind, placebo-controlled, parallel study to assess the pharmacodynamics, pharmacokinetics and safety and tolerability of VAY736 in patients with primary Sj gren s syndrome ."
1600,"Thank you to the participants who took part in the clinical trial CAIN457AUS02 (VIP-S) for the drug secukinumab, also called AIN457."
1601,All of the participants helped researchers learn more about how secukinumab affects inflammation in patients who have moderate to severe plaque psoriasis.
1602,"Plaque psoriasis is a skin disease that causes red, swollen scaly patches to form on the skin."
1603,Novartis sponsored this trial and believes it is important to share the results of the trial with the participants and the public.
1605,We hope it helps the participants understand their important role in medical research.
1608,The participants were in the trial for about 1 year.
1609,But the entire trial took 2 years to finish because the participants entered the trial and started treatment at different times.
1610,The trial started in February 2016 and ended in February 2018.
1611,The trial included 91 participants and was conducted only in the United States.
1614,Research Sponsor: Novartis Drug Studied: Secukinumab Protocol Number: CAIN457AUS02 (VIP-S) Clinical Trial Results 1 2 Clinical Trial Results Why was the research needed?
1615,"Inflammation is the normal reaction of the body in response to injuries or things from outside the body, like infections."
1616,"People who have psoriasis have a response that causes too much inflammation, which may affect healthy tissue."
1617,"This inflammation can cause red, scaly patches called plaques to form on the skin."
1618,"Inflammation can also happen in other parts of the body, including veins and arteries."
1619,Researchers do not know what causes this inflammation.
1620,"Long-term inflammation can also cause other health problems, like heart and blood vessel problems."
1621,Secukinumab is used in some countries to treat patients who have moderate to severe plaque psoriasis.
1622,Secukinumab helps control the part of the immune system that leads to inflammation and the growth of skin plaques.
1623,"In this trial, the researchers wanted to find out more about how secukinumab affects inflammation in the aorta of participants who have plaque psoriasis."
1624,The aorta is the biggest vessel in the body and carries blood away from the heart.
1625,"Inflammation in the aorta has been linked with a higher risk of medical problems, like heart attacks."
1626,The main questions the researchers wanted to answer in this trial were: Did secukinumab reduce inflammation in the aorta?
1627,How did secukinumab affect other measures of heart and blood vessel disease risk?
1629,"To do this, the researchers compared secukinumab with a placebo."
1630,"A placebo looks like the trial drug, but does not have any medicine in it."
1633,"To answer the questions in this trial, the researchers asked for the help of men and women who had moderate to severe plaque psoriasis that could not be controlled with other treatments."
1634,The participants in this trial were between 22 and 83 years old.
1635,"This trial was done in 2 parts, Part 1 and Part 2."
1636,Part 2 happened after Part 1 had ended.
1637,Part 1 Part 1 was double-blind .
1638,"This means that none of the participants, trial staff, or sponsor staff knew what treatment each participant got during this part."
1639,During Part 1: 46 participants got secukinumab 45 participants got the placebo Both secukinumab and the placebo were given as injections through a needle under the skin.
1640,A computer program was used to randomly assign the treatment each participant got during this part.
1642,Part 2 Part 2 was open-label .
1643,"This means the participants, trial staff, and sponsor staff knew what treatment each participant got during this part."
1644,"During Part 2, all the participants got secukinumab."
1645,"After the entire trial ended, the participants learned whether they got secukinumab or the placebo during Part 1."
1646,4 Clinical Trial Results What happened during the trial?
1647,"Before the treatment started, the trial doctors did tests to make sure the participants could take part in the trial."
1648,This part of the trial took up to 4 weeks.
1649,"During this time, the participants: had a physical exam gave blood and urine samples completed surveys told the trial doctors about any medical problems they had and what other medications they were taking stopped taking certain medications had a picture taken of their aorta To take a picture of each participant s aorta, the trial doctors used a scan called a positron emission tomography with computed tomography scan, also called a PET/CT scan."
1650,"After the trial doctors finished these tests, the participants learned if they could participate in the trial."
1651,"If they could participate, they continued to Part 1 of the trial."
1652,"Throughout and at the end of the trial, the doctors continued checking participants health by performing tests and asking them how they were feeling."
1653,5 Clinical Trial Results The figures below show how the trial was done.
1654,"5 weeks Part 1 Double-blind treatment The participants got secukinumab or the placebo once a week for the rst 5 weeks During this time, the participants did not get trial treatment The doctors checked the health of the participants The participants got 1 dose of their prior treatment, either secukinumab or placebo 12 weeks 3 weeks 1 week During this time, the participants did not get trial treatment The doctors checked the health of the participants to make sure they could join Part 2 3 weeks 4 weeks Part 2 Open-label treatment The participants who got the placebo in Part 1 got secukinumab once a week for 4 weeks The participants who got secukinumab in Part 1 got secukinumab once in the rst week."
1655,"Then, they got the placebo once a week for the next 3 weeks 36 weeks The participants got secukinumab once every 4 weeks 6 Clinical Trial Results What were the results of the trial?"
1656,This is a summary of the overall results of this trial.
1657,The individual results of each participant might be different and are not in this summary.
1659,Medical decisions should not be made based on the results of a single trial without first talking to a doctor.
1660,Always talk to a doctor before making any changes to medications or treatment plans.
1661,Did secukinumab reduce inflammation in the aorta?
1663,"Overall, secukinumab did not reduce inflammation in the aorta."
1664,"To answer this question, the trial doctors looked at the PET/CT scans done at the start of the trial."
1665,"Then, they looked at the PET/CT scans done at the end of Part 1, which lasted 12 weeks."
1666,"Before each PET/CT scan, the trial doctors injected the participants with a small dose of a radioactive material called radiotracer."
1667,"This radiotracer was not considered to be harmful and helped the doctors see certain organs and tissues, such as the aorta and veins."
1668,The doctors looked at how much of the radiotracer was in the aorta and compared it to how much was in the blood in the veins.
1669,"This is known as the target to background ratio , also called the TBR."
1670,A higher TBR means there is a high amount of inflammation in the aorta.
1671,"At the end of Part 1, the researchers measured the change in the TBR in: 43 of the 46 participants who got secukinumab 42 of the 45 participants who got the placebo The researchers were not able to study the TBR results for 3 participants in both treatment groups."
1672,This was because these 6 participants left the trial before the researchers could study the results.
1673,The researchers estimated that the average TBR score increased by 0.017 in the secukinumab group and increased by 0.070 in the placebo group.
1674,The difference between the groups was too small for researchers to know if secukinumab reduced inflammation in the aorta compared to the placebo.
1675,7 Clinical Trial Results How did secukinumab affect other measures of heart and blood vessel disease risk?
1676,"The researchers wanted to find out if secukinumab affected cholesterol, blood sugar, and other proteins in the blood."
1677,"These substances can show if a person is at risk for medical problems like heart disease, diabetes, and strokes."
1678,They measured these substances before the participants started treatment and at the end of Part 1.
1679,The researchers were only able to study the below results for 40 of the 46 participants who got secukinumab and 41 of the 45 participants who got the placebo.
1680,This was because some of the participants left the trial before the researchers could study the below results.
1681,"For most of these substances, the researchers did not see differences between the participants who got secukinumab and the participants who got the placebo."
1682,But there were differences between the 2 groups in measures of cholesterol.
1683,Cholesterol plays an important part in making sure that the body works properly.
1684,But there are different types of cholesterol.
1685,"One type is low-density lipoprotein cholesterol, also called LDL cholesterol."
1686,LDL cholesterol is bad cholesterol and can clog arteries and blood vessels.
1687,"High-density lipoprotein cholesterol, also called HDL cholesterol, is good cholesterol."
1688,It helps remove bad cholesterol from the blood.
1689,"The researchers measured the participants LDL cholesterol, HDL cholesterol, and total cholesterol in milligrams per deciliter , also called mg/dL."
1690,They found that LDL cholesterol and total cholesterol increased slightly in the participants who got secukinumab and decreased in the participants who got the placebo.
1691,After 12 weeks of treatment: LDL cholesterol: went up by an average of 10.0 mg/dL in the participants who got secukinumab went down by an average of 6.3 mg/dL in the participants who got the placebo HDL cholesterol: went down by an average of 0.8 mg/dL in the participants who got secukinumab went down by an average of 1.1 mg/dL in the participants who got the placebo 8 Clinical Trial Results Total cholesterol: went up by an average of 10.6 mg/dL in the participants who got secukinumab went down by an average of 8.5 mg/dL in the participants who got the placebo The researchers found that these differences in cholesterol did not cause the participants to have medical problems.
1692,These differences did not affect the other trial results.
1700,"So when new drugs are being studied, researchers keep track of all medical problems that participants have."
1701,This section is a summary of the adverse events that happened during Part 1 and during the trial overall.
1702,The overall trial lasted about 52 weeks.
1704,"During Part 1, more participants who got secukinumab had adverse events compared to participants who got the placebo."
1705,More participants who got secukinumab for the entire trial had adverse events compared to participants who got the placebo during Part 1 and then secukinumab during Part 2.
1706,9 Clinical Trial Results The table below shows how many participants had adverse events during all 52 weeks of the trial.
1707,Adverse events during the trial Secukinumab (Part 1) and secukinumab (Part 2) (Out of 46 participants) Placebo (Part 1) and secukinumab (Part 2) (Out of 45 participants) Total (Out of 91 participants) How many participants had adverse events?
1708,80.4% (37) 66.7% (30) 73.6% (67) How many participants had serious adverse events?
1709,10.9% (5) 0.0% (0) 5.5% (5) How many participants stopped taking the trial drug due to adverse events?
1710,8.7% (4) 2.2% (1) 5.5% (5) What were the most common serious adverse events?
1711,There were 10.9% of participants who got secukinumab for the entire trial who had a serious adverse event.
1712,This was 5 out of 46 participants.
1713,None of the participants who got the placebo in Part 1 and secukinumab in Part 2 had a serious adverse event.
1714,None of the participants died during the trial.
1715,10 Clinical Trial Results The table below shows the serious adverse events that happened during the trial.
1716,Each of these serious adverse events happened in 1 participant.
1717,Serious adverse events during the trial Secukinumab (Part 1) and secukinumab (Part 2) (Out of 46 participants Placebo (Part 1) and secukinumab (Part 2) (Out of 45 participants) Total (Out of 91 participants) Broken arm 2.2% (1) 0.0% (0) 1.1% (1) Broken rib 2.2% (1) 0.0% (0) 1.1% (1) Muscle weakness 2.2% (1) 0.0% (0) 1.1% (1) Narrowing of the aorta (this can make it difficult for blood to flow) 2.2% (1) 0.0% (0) 1.1% (1) Stomach pain 2.2% (1) 0.0% (0) 1.1% (1) What were the most common adverse events?
1718,The most common adverse event during the trial was a cold.
1719,This happened in: 19.6% of participants who got secukinumab during the entire trial.
1720,This was 9 out of 46 participants.
1721,15.6% of participants who got the placebo in Part 1 and secukinumab in Part 2.
1722,This was 7 out of 45 participants.
1723,11 Clinical Trial Results The table below shows the most common adverse events that happened during all 52 weeks of the trial.
1724,"Most common adverse events during the trial Secukinumab (Part 1) and secukinumab (Part 2) (Out of 46 participants) Placebo (Part 1) and secukinumab (Part 2) (Out of 45 participants) Total (Out of 91 participants) Common cold 19.6% (9) 15.6% (7) 17.6% (16) Infection in the nose and throat, often caused by a virus 13.0% (6) 8.9% (4) 11.0% (10) Joint pain 10.9% (5) 6.7% (3) 8.8% (8) Cough 2.2% (1) 8.9% (4) 5.5% (5) Diarrhea 6.5% (3) 4.4% (2) 5.5% (5) For more information about the adverse events in this trial, please see the scientific summary that can be found on the websites noted at the end of this summary."
1726,The information described above helped the researchers better understand how secukinumab might help reduce inflammation in the aorta in participants who have moderate to severe plaque psoriasis.
1727,"In this trial, secukinumab did not help reduce inflammation in the aorta."
1728,The researchers also wanted to understand if secukinumab affected the risk of heart and blood vessel diseases in the participants.
1729,"Overall, the researchers did not find a difference in heart and blood vessel disease risk between secukinumab and the placebo."
1730,"But, the researchers did find that LDL and total cholesterol increased slightly in the participants who got secukinumab and decreased in the participants who got the placebo."
1738,1-888-669-6682 (US); +41613241111 (EU) www.novartisclinicaltrials.com The Center for Information & Study on Clinical Research Participation (CISCRP) is a non-profit organization focused on educating and informing the public about clinical research participation.
1742,"After agreeing to enter the Novartis website, type CAIN457AUS02 into the keyword search box and click Search ."
1745,"Once you are on the website, type NCT02690701 into the search box and click Search ."
1747,Search for AIN457 .
1748,"Full trial title: A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study to Evaluate the Effect of Secukinumab on Aortic Vascular Inflammation and Cardiometabolic Biomarkers after 12 Weeks of Treatment, Compared to Placebo, and Up to 52 Weeks of Treatment with Secukinumab in Adult Patients with Moderate to Severe Chronic Plaque-type Psoriasis Version 1.30 2019_10_08 ."
1754,Thank you for taking part in the clinical trial for the drug QBW251.
1755,"You and all of the patients helped researchers learn more about how QBW251 works in people with chronic obstructive pulmonary disease, also called COPD."
1757,"An independent, non-profit organization called CISCRP prepared this summary of the trial results for you."
1761,You were in this trial for about 3 months.
1762,"But, the entire trial took almost 2 years to finish."
1763,This is because patients started and stopped at different times.
1764,The trial started in April 2015 and ended in January 2017.
1765,The trial included 92 patients from 16 trial sites in Poland and the United States.
1769,Researchers are looking for a better way to treat COPD in people who smoke or used to smoke for at least 10 years.
1770,"Before a drug can be approved for patients to take, researchers do many clinical trials to find out how well it works and how safe it is."
1771,This information is important to know before other trials can be done that help find out if QBW251 improves the health of people with COPD.
1772,"Research Sponsor: Novartis Drug Studied: QBW251 Protocol: CQBW251X2201 Clinical Trial Results 1 2 Clinical Trial Results In this trial, the researchers wanted to find out if QBW251 works in a small number of patients with COPD and chronic bronchitis."
1773,Patients with COPD and chronic bronchitis have inflammation and extra mucus that builds up and traps air in the airways of their lungs.
1774,This trapped air cannot be breathed out.
1775,This makes it harder to breathe and can damage the lungs over time.
1776,Most people who develop COPD are current or former smokers.
1777,Researchers think the mucus caused by COPD may be harder to clear out of the lungs because of a protein that does not work well.
1778,"The protein is called cystic fibrosis transmembrane receptor, also called CFTR."
1779,Researchers think cigarette smoke causes this problem with CFTR.
1780,QBW251 may help CFTR work better and reduce the amount of mucus built up in the lungs so patients can breathe easier.
1781,The researchers compared QBW251 to a placebo.
1784,The main questions the researchers wanted to answer in this trial were: Did QBW251 help the patients lungs work more evenly?
1785,Did QBW251 help the patients lungs in other ways?
1786,How much QBW251 got into the blood?
1787,What medical problems did the patients have during the trial?
1789,"To answer the questions in this trial, the researchers asked for the help of women and men like you."
1790,The patients in this trial were 46 to 75 years old.
1791,They were all current smokers or former smokers with COPD and chronic bronchitis.
1793,"This means none of the patients, trial staff, or sponsor staff knew what treatment each patient took."
1794,Some trials are done this way because knowing what treatment the patients are taking can affect the results of the trial.
1796,A computer program was used to randomly choose the treatment each patient took.
1800,"Before the trial treatment started, the trial doctors did tests to make sure you could take part in the trial."
1801,This lasted up to 4 weeks.
1802,"Then, you took a placebo twice a day for 2 weeks."
1803,This part of the trial was single-blind .
1804,"This means that you and the other patients did not know you were taking the placebo, but the trial doctors did."
1805,The trial doctors may have asked you to stop taking certain medicines.
1806,This part of the trial helped the researchers make sure any effects they saw during the treatment part of the trial were due to the trial drug and not due to other reasons.
1807,"During the trial: 64 patients took QBW251 twice a day for 4 weeks 28 patients took the placebo twice a day for 4 weeks All patients took pills of QBW251 or the placebo by mouth All patients visited the trial site about 8 times The planned dose of QBW251 was 450 milligrams, also called mg."
1808,"Shortly after the trial started, the researchers learned from other QBW251 trials that a lower dose can be used."
