,sentences
2020,Some patients in the study had serious side effects.
2021,A side effect was serious if it caused the patient to go to the hospital or stay longer in the hospital.
2022,"It was also serious if it needed a doctor's immediate attention, was life-threatening, or caused death."
2023,http://www.trials.boehringer-ingelheim.com/http://www.clinicaltrials.govBI 1230.30Abbreviated Report30 Jan 2018 Page 5 of 5Important noticeThis summary shows only the results from one study and may not represent all of the knowledge about the medicine studied.
2024,"Usually, more than one study is done to find out how well a medicine works and the side effects of the medicine."
2026,"You should consult the prescribing information for your country to get more information on the medicine studied, or ask your physician about the medicine."
2027,You should not change your therapy based on the results of this study without first talking to your physician.
2028,Always consult your physician about your specific therapy.
2029,Boehringer Ingelheim has provided this lay summary in accordance with transparency obligations.
2030,This lay summary is intended for audiences located within the European Union.
2042,Lay summary 1237.3615 January 2019 BI 1237.36 Page 1 of 4Cardiovascular function in patients with COPDThis is a summary of a clinical study in chronic obstructive pulmonary disease (COPD).
2046,"By taking part in this study, you helped researchers answer important questions about the combination of tiotropium and olodaterol and the treatment of COPD."
2048,COPD is a disease that makes it difficult to breathe.
2049,Patients with COPD have an increased risk of having cardiovascular diseases.
2050,Researchers compared 2 different treatments for COPD.
2051,They contrasted how the 2 treatments helped heart function in patients with COPD.
2053,The combination of the medicines tiotropium and olodaterol is used to treat COPD.
2054,But it is not known whether taking these medicines improves heart function.
2055,This study was needed to find how these medicines affect the heart.
2057,Tiotropium and olodaterol are 2 different medicines.
2058,They are used to treat COPD.
2059,Tiotropium and olodaterol both help to open the airways.
2060,Taking both medicines together opens the airways more than taking either medicine alone.
2061,The combination of tiotropium and olodaterol (tiotropium+olodaterol) comes as a solution that needs to be inhaled.
2062,Patients take the medicine with a special inhaler called the Respimat .
2063,Fluticasone and salmeterol are 2 different medicines that are also used to treat COPD.
2064,The combination of fluticasone and salmeterol (fluticasone+salmeterol) works to open the airways but in a different way from tiotropium+olodaterol.
2065,Fluticasone+salmeterol comes as a dry powder that needs to be inhaled.
2066,Patients take the medicine with a special inhaler called the Accuhaler .
2067,15 January 2019 BI 1237.36 Page 2 of 4Who took part in this study?
2068,The study included patients with COPD.
2069,The patients had no signs of cardiovascular disease.
2070,Patients could take part in the study if they had a history of smoking or were current smokers.
2071,"Overall, 76 patients took part in the study."
2072,This included 45 men and 31 women.
2073,The average age was 62 years.
2074,The youngest patient was 48 years old.
2075,The oldest patient was 74 years old.
2076,All patients were from Germany.
2078,Patients took both types of treatment (tiotropium+olodaterol and fluticasone+salmeterol)for 6 weeks each.
2079,The patients were divided into 2 groups by chance.
2080,The patients did not know which treatment they were taking first or second.
2082,One group of patients started by taking tiotropium+olodaterol from the Respimat inhaler and placebo from the Accuhaler inhaler for 6 weeks.
2083,Then they switched to take fluticasone+salmeterol from the Accuhaler inhaler and placebo from the Respimat inhaler for 6 weeks.
2084,The placebo in each inhaler was an inactive substance that looked like the medicines.
2085,The other group of patients started by taking fluticasone+salmeterol from the Accuhaler inhaler and placebo from the Respimat inhaler for 6 weeks.
2086,Then they switched to take tiotropium+olodaterol from the Respimat inhaler and placebo from the Accuhaler inhaler for 6 weeks.
2087,This is shown in the picture below.
2088,"During treatment, all patients inhaled 2 puffs from the Respimat inhaler and then 1 puff from the Accuhaler inhaler each morning."
2089,They also inhaled 1 puff from the Accuhaler each evening.
2090,"Each patient s Respimat inhaler had 5 g (micrograms) tiotropium and 5 golodaterol, or placebo."
2091,"Each patient s Accuhaler inhaler had 500 g fluticasone propionate and 50 g salmeterol, or placebo."
2092,Tiotropium+olodaterolFluticasone+salmeterol6 weeks 6 weeksFluticasone+salmeterolTiotropium+olodaterol15 January 2019 BI 1237.36 Page 3 of 4Doctors wanted to find out which treatment helped with the patients heart function the most.
2093,They did this by looking at special images of the patients' hearts.
2094,The images are called magnetic resonance images.
2095,"With these images, the researchers can find out how well the heart pumps."
2096,A measurement called LVEDVI tells the researchers how much blood the heart can pump out.
2100,Researchers found that both treatments improved the function of the heart.
2101,"When patients took tiotropium+olodaterol, LVEDVI increased by an average 2.317 mL (millilitres) per square meter of body surface area."
2102,"When patients took fluticasone+salmeterol, LVEDVI increased by an average 2.855 mL per square meter of body surface area."
2103,The difference between the two treatments was not meaningful.
2106,"In this study, no patients had unwanted effects while taking tiotropium+olodaterol."
2107,4 out of 70 patients (6%) had unwanted effects while taking fluticasone+salmeterol.
2108,"These unwanted effects were yeast infection of the mouth and throat (oral candidiasis and oropharyngeal candidiasis), voice problems (dysphonia), and dry mouth."
2111,"If researchers do additional clinical studies with tiotropium and olodaterol, you will find them on the websites listed in the next section."
2112,"To search for these studies, use the following names: tiotropium and olodaterol."
2113,No additional studies are currently planned for the patients with COPD who took part in this study with tiotropium and olodaterol.
2114,15 January 2019 BI 1237.36 Page 4 of 4Where can I find more information about this study?
2116,Go to http://www.trials.boehringer-ingelheim.com/ and search for the study number1237.36.
2118,Go to www.clinicaltrialsregister.eu/ctr-search and search for the EudraCT number 2015-002641-66.
2120,Go to www.clinicaltrials.gov and search for the NCT number NCT03055988.
2122,"The full title of the study is: An exploratory, randomised, double-blind, double-dummy, active-controlled, two period cross-over study to investigate the effect of 6 weeks treatment of orally inhaled tiotropium + olodaterol fixed dose combination (FDC) delivered by the Respimat Inhaler with fluticasone propionate + salmeterol FDC delivered by the Accuhaler Inhaler, on left ventricular function and arterial stiffness in patients with Chronic Obstructive Pulmonary Disease (COPD) ."
2123,This was a Phase IV study.
2124,This study started in April 2017 and finished in March 2018.
2142,Lay summary 1320.22 BI 1320.2219 Jul 2018 Page 1 of 4A study to investigate BI 1026706 in patients with diabetic macular edemaThis is a summary of a clinical study in diabetic macular edema (DME).
2146,"Through your participation, you helped researchers answer important questions about BI 1026706 and the treatment of DME."
2148,Researchers wanted to find out whether a medicine called BI 1026706 helps patients withDME.
2149,Macular edema occurs when fluid builds up in a part of the eye called the macula.
2150,The excess fluid causes the macula to swell.
2151,Swelling of the macula leads to loss of vision.
2152,DME is a complication of type 1 or type 2 diabetes.
2153,This study started in June 2016 and finished in October 2017.
2155,New treatments for DME are needed.
2156,Some treatments are already available for DME.
2157,These treatments are given as injections directly into the eye.
2158,Injections into the eye are uncomfortable and might cause complications.
2159,Researchers want to develop new treatments for DME that can be given without injections.
2160,This study was done to test a new medicine called BI 1026706.
2161,"This medicine can be taken as a tablet by mouth, and no injections are needed."
2163,BI 1026706 is a new medicine that is being tested for treating DME.
2164,It is taken as a tablet by mouth.
2165,Placebo tablets looked like BI 1026706 but did not contain any medicine.
2166,Researchers compared BI 1026706 with placebo to find out how well BI 1026706 works.
2167,BI 1320.2219 Jul 2018 Page 2 of 4Who participated in the study?
2168,Patients could take part in this study if they had DME with mild vision loss.
2169,"Overall, 105 patients took part in the study."
2170,They were 77 men and 28 women.
2171,The average age was 63 years.
2172,The youngest patient was 41 years old.
2173,The oldest patient was 86 years old.
2174,The table below shows the number of patients in each country.
2175,Country Number of Patients Country Number of PatientsGermany 23 patients Spain 11 patientsFrance 19 patients Hungary 10 patientsGreece 15 patients United Kingdom 7 patientsPortugal 14 patients Belgium 6 patientsHow was this study done?
2177,One group of patients received BI 1026706 and the other group received placebo for 12 weeks.
2178,Every patient had an equal chance of being in the BI 1026706 group or in the placebo group.
2181,Patients in the BI 1026706 group took a tablet of 100 milligrams BI 1026706 twice a day.
2182,Patients in the placebo group took a placebo tablet twice a day.
2183,Researchers wanted to know if BI 1026706 could help to reduce swelling in the macula.
2184,"To measure the amount of swelling, study doctors measured the thickness of the macula."
2185,They did this by taking special pictures of each patient s macula.
2186,Researchers measured thethickness of each patient s macula at the beginning of the study and at the end of the study.
2188,"During the visits, the doctors also collected information on each patient s health."
2190,BI 1026706 and placebo did not have any meaningful effect on the thickness of the macula.
2191,"In other words, BI 1026706 did not reduce swelling in the macula of patients with DME."
2192,BI 1320.2219 Jul 2018 Page 3 of 4Were there any unwanted effects?
2194,"In this study, 7 out of 52 patients (14%) in the BI 1026706 group and 7 out of 53 patients (13%) in the placebo group had unwanted effects."
2195,Each unwanted effect was reported for no more than 1 patient in either treatment group.
2196,Some unwanted effects were serious because they required a visit to the hospital or a longer stay in the hospital.
2197,"In this study, there was 1 patient in the BI 1026706 group who had serious unwanted effects."
2198,No patients in the placebo group had serious unwanted effects.
2201,"If more clinical studies with BI 1026706 are done, they may be found on the public websites listed in the section below."
2202,"To search for these studies, use the following names: BI 1026706."
2204,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1320.22www.clinicaltrialsregister.eu/ctr-searchsearch for the EudraCT number: 2015-003529-33www.clinicaltrials.gov search for the NCT number: NCT02732951http://www.trials.boehringer-ingelheim.com/http://www.clinicaltrialsregister.eu/ctr-searchhttp://www.clinicaltrialsregister.eu/ctr-searchhttp://www.clinicaltrials.govBI 1320.2219 Jul 2018 Page 4 of 4The sponsor of this study was Boehringer Ingelheim.
2205,"The full title of the study is: A randomised, double-masked, placebo-controlled exploratory study to evaluate pharmacodynamics, safety, and tolerability of orally administered BI 1026706 for 12 weeks in patients with mild visual impairment due to centre-involved diabetic macular oedema (DME) ."
2206,This was a Phase 2a study.
2224,Lay summary 1289.5BI 1289.526 Jul 2018 Page 1 of 5A study to test whether BI 409306 improves mental abilities in peoplewith early-stage Alzheimer s diseaseThis is a summary of a clinical study in Alzheimer s disease.
2227,We thank all people who took part in this study.
2228,"Through your participation, you helped researchers answer important questions about BI 409306 and the treatment of Alzheimer s disease."
2230,Researchers wanted to find out whether BI 409306 helped people with early-stage Alzheimer s disease.
2231,Early-stage Alzheimer s disease is when a person is having some problems with memory and thinking.
2232,They are still able to carry out daily functions by themselves.
2233,The researchers also wanted to find the dose of BI 409306 that worked the best for these people.
2234,This study started in February 2015 and finished in October 2017.
2236,New medicines to treat people with early-stage Alzheimer s disease are needed.
2237,People with early-stage Alzheimer s disease will probably develop Alzheimer s disease in the next 10 years.
2238,"By the time these people are diagnosed with Alzheimer s disease, they are no longer able to care for themselves."
2239,Currently approved medicines are used to treat the symptoms of Alzheimer s disease.
2240,None are available to treat people in the early stage.
2241,BI 1289.526 Jul 2018 Page 2 of 5Which medicines were studied?
2242,BI 409306 is a new medicine that is being tested for treating early-stage Alzheimer s disease.
2243,It blocks a protein called phosphodiesterase 9 (PDE9A).
2244,Blocking this protein might help to improve memory and learning in people with early-stage Alzheimer s disease.
2245,BI 409306 is taken as a tablet by mouth.
2246,Placebo tablets looked like BI 409306 but did not contain any medicine.
2247,Researchers compared BI 409306 with placebo to find out how well BI 409306 works.
2249,This study included people with early-stage Alzheimer s disease who were 55 years old or older.
2250,They had not yet received any treatment for their Alzheimer s disease before entering this study.
2251,Each participant had a study partner who helped to provide information about the participant.
2252,The study planned for 288 people to take part.
2253,"Because it took too long to find enough participants, the study was stopped early."
2254,"At the time the final analysis was done,128 participants had finished the treatment."
2256,Most of the participants (89%) were older than 65 years.
2257,The youngest participant was 58 years old.
2258,The oldest participant was 88 years old.
2259,About half of the participants (45%) were men and half (55%) were women.
2260,"Most of the participants were from Europe (110 participants from Austria, France, Germany, Italy, Netherlands, Poland, Portugal, Spain, and United Kingdom)."
2261,18 participants were from North America (Canada and United States).
2263,Study participants were divided into 5 groups.
2264,Four of the groups took BI 409306 at different doses.
2265,One group took placebo tablets.
2266,Participants took BI 409306 tablets or placebo tablets for 12 weeks.
2267,The participants did not know which treatment they were taking.
2269,The dose and the number of participants treated in each group are shown in the picture on the next page.
2270,BI 1289.526 Jul 2018 Page 3 of 5Study participants took a set of special tests called the Neuropsychological Test Battery (NTB)a few times during the study.
2271,"These tests measure thinking speed, attention, learning, memory, and problem solving."
2272,Changes in the total test score over time were measured.
2273,These measurements can show changes in the ability of people with Alzheimer s disease to think clearly and accurately.
2274,The researchers looked at the results of the tests after 12 weeks of taking BI 409306 or placebo.
2275,Study participants visited their doctors regularly.
2276,"During the visits, the doctors collected information on each participant s health."
2278,"After 12 weeks of treatment, participants who took BI 409306 had similar test scores asparticipants who took placebo."
2279,Researchers used statistical tests on the results.
2280,They found no difference between any of the BI 409306 and placebo treatment groups.
2281,BI 409306 10 mg once dailyBI 409306 25 mg once dailyBI 409306 50 mg once dailyBI 409306 25 mg twice dailyPlacebo22 participants43 participants21 participants21 participants21 participantsStart of study End 12 weeks treatmentParticipants were assigned to a treatment group at the start of the study.
2282,Participants were to take their study medicine for 12 weeks.
2283,BI 1289.526 Jul 2018 Page 4 of 5Were there any unwanted effects?
2285,"In total, 16 out of 128 participants (13%) from all treatment groups had unwanted effects."
2286,Unwanted effects reported by more than 1 participant are listed in the table below.
2287,BI 40930610 mg (22people)25 mg(21people)50 mg(21people)25 mg twice/day(21people)Placebo(43people)Vision blurred0 people 0 people 2 people(10%)0 people 0 peopleVisual impairment0 people 0 people 1 person(5%)0 people1 person(2%)Headache 0 people1 person(5%) 1 person(5%)0 people 0 peopleAre there follow-up studies?
2288,"If more clinical studies with BI 409306 are done, they may be found on the public websites listed in the section below."
2289,"To search for these studies, use the following name: BI 409306."
2290,BI 1289.526 Jul 2018 Page 5 of 5Where can I find more information?
2291,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1289.5www.clinicaltrialsregister.eu search for the EudraCT number: 2013-005031-24www.clinicaltrials.gov search for the NCT number: NCT02240693The sponsor of this study was Boehringer Ingelheim.
2292,"The full title of the study is: A multi-centre, double-blind, parallel-group, randomized controlled study to investigate the efficacy, safety and tolerability of orally administered BI 409306 during a 12-week treatment period compared to placebo in patients with Alzheimer s Disease ."
2293,This was a Phase 2 study.
2301,Icons Fotolia by Matthias Enterhttp://www.trials.boehringer-ingelheim.com/http://www.clinicaltrialsregister.euhttp://www.clinicaltrials.gov What was this study about?
2311,Lay summary 1289.7BI 1289.726 Jul 2018 Page 1 of 5A study to test whether BI 409306 improves mental abilities in peoplewith mild Alzheimer s disease and difficulties with mental functioningThis is a summary of a clinical study in Alzheimer s disease.
2317,Researchers wanted to find out whether BI 409306 helped people with mild Alzheimer sdisease.
2319,Mild Alzheimer s disease is when a person is having some problems with memory and thinking.
2320,They may be losing the ability to do activities that have several steps.
2321,These peoplecan still carry out simple daily activities by themselves.
2322,This study started in March 2015 and finished in October 2017.
2324,New medicines to treat people with mild Alzheimer s disease are needed.
2325,Currently approved medicines are used to treat the symptoms of mild Alzheimer s disease.
2326,No treatment has yet been shown to help slow the progression of the disease.
2327,BI 1289.726 Jul 2018 Page 2 of 5Which medicines were studied?
2328,BI 409306 is a new medicine that is being tested for treating mild Alzheimer s disease.
2330,Blocking this protein might help to improve memory and learning in people with mild Alzheimer s disease.
2335,This study included people with mild Alzheimer s disease who were 55 years old or older.
2336,"On average, study participants had received their diagnosis of Alzheimer s disease 1.5 years before the study started."
2338,"Overall, 329 participants received treatment in this study."
2339,The average age was 74 years.
2340,Most of the participants (86%) were older than 65 years.
2341,The youngest participant was 55 years old.
2342,The oldest participant was 91 years old.
2343,Half of the participants (50%) were men and half (50%) were women.
2344,"Most of the participants were from Europe (257 participants from Austria, Belgium, France, Germany, Italy Netherlands, Poland, Portugal, and United Kingdom)."
2345,72 participants were from North America (Canada and United States).
2354,"At the beginning of the study, 5 participants were also assigned to receive an approved Alzheimer s disease treatment called donepezil."
2355,"After the study had started, there was a change in the way the study was done."
2356,No more participants were assigned to receive donepezil.
2357,The 5 participants who were already assigned continued to take donepezil.
2358,"Because of the low number of participants in this group, no conclusions about this treatment can be drawn."
2359,BI 1289.726 Jul 2018 Page 3 of 5Study participants took a set of special tests called the Neuropsychological Test Battery (NTB)a few times during the study.
2370,BI 409306 10 mg once dailyBI 409306 25 mg once dailyBI 409306 50 mg once dailyBI 409306 25 mg twice dailyPlacebo55 participants106 participants53 participants55 participants55 participantsStart of study End 12 weeks treatmentParticipants were assigned to a treatment group at the start of the study.
2372,BI 1289.726 Jul 2018 Page 4 of 5Were there any unwanted effects?
2374,"In total, 29 out of 329 participants (9%) from all treatment groups had unwanted effects."
2376,BI 40930610 mg (55people)25 mg(53people)50 mg(55people)25 mg twice/day(55people)Placebo(106people)Seeing flashes of light (photopsia)0 people1 person(2%) 1 person(2%)1 person(2%)0 peopleVision blurred1 person(2%)0 people 1 person(2%)1 person(2%)0 peopleHeadache 0 people2 people(4%) 0 people 0 people 0 peopleDizziness 0 people1 person(2%) 1 person(2%)0 people 0 peopleAre there follow-up studies?
2379,BI 1289.726 Jul 2018 Page 5 of 5Where can I find more information?
2380,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1289.7www.clinicaltrialsregister.eu search for the EudraCT number: 2013-005040-28www.clinicaltrials.gov search for the NCT number: NCT02337907The sponsor of this study was Boehringer Ingelheim.
2381,"The full title of the study is: A multi-centre, double-blind, parallel-group, randomised controlled study to investigate efficacy, safety and tolerability of orally administered BI 409306 during a 12-week treatment period compared to placebo in patients with cognitive impairment due to Alzheimer s Disease ."
2400,Lay summary 1199.3326 June 2018 BI 1199.33 Page 1 of 4INPULSIS -ON: The long-term safety of nintedanib in patients with idiopathic pulmonary fibrosis (IPF)This is a summary of a clinical study in patients with IPF.
2404,"Through your participation, you helped researchers answer important questions about nintedanib and the treatment of IPF."
2406,This study looked at the long-term safety of a medicine called nintedanib in patients with IPF.
2407,IPF is a rare disease that causes scarring of the tissue inside the lungs.
2408,The scarring makes the lungs become thick and stiff (fibrotic).
2410,The word 'idiopathic' means that doctors do not know the cause of the disease.
2411,The patients in this study had already participated in previous nintedanib studies.
2412,This study started in July 2012.
2413,Some patients are still in the study.
2414,The final analysis shown in this summary was done in September 2017.
2416,This study allowed patients from previous nintedanib studies to receive nintedanib for a longer period of time.
2417,Researchers wanted to see the long-term safety of nintedanib in patients with IPF.
2419,Researchers studied the medicine nintedanib (also known as BIBF 1120).
2420,Nintedanib is a medicine that is used to treat IPF.
2421,Nintedanib can help to slow down the worsening of the disease.
2422,Researchers think that nintedanib blocks biological signals that take place in the lung-scarring process.
2423,Nintedanib is given as a capsule taken by mouth.
2424,26 June 2018 BI 1199.33 Page 2 of 4Who participated in the study?
2425,Patients with IPF who completed 1 year of treatment in the previous nintedanib studies could enter the study.
2426,A total of 734 patients were treated with nintedanib in the study.
2427,The patients were mostly men (80%).
2428,The average age was 67 years.
2429,The youngest patient was 43 years old.
2430,The oldest patient was 89 years old.
2432,"Region Countries Number of PatientsEuropean Union Belgium, Czech Republic, Finland, France, Germany, Greece, Ireland, Italy, Netherlands, Portugal, Spain, United Kingdom334 patientsAsia China, India, Japan, Korea 204 patientsOther countries Australia, Canada, Chile, Israel, Mexico, Russia, Turkey, United States196 patientsHow was this study done?"
2433,"In this study, patients with IPF received long-term nintedanib treatment."
2434,Most patients started treatment on a dose of 150 milligrams (mg) twice a day.
2435,"If patients had side effects that they could not tolerate, the doctors could lower the dose to 100 mg twice a day."
2436,Patients could also stop taking nintedanib for a while.
2437,The patients and their doctors knew which dose of nintedanib the patients were taking.
2438,"On average, patients took nintedanib for 2 years and 7 months."
2439,The longest time a patient took nintedanib in this study was 4 years and 8 months.
2440,"Overall, 36% of patients had at least 1 dose reduction and 38% had at least 1 treatment interruption."
2442,"During the visits, the doctors collected information about health problems the patients had during the study."
2443,"In this way, researchers could determine the long-term safety of nintedanib."
2444,"Health problems included those caused by IPF, other diseases, other medicines, and unwanted effects of nintedanib."
2445,Unwanted effects of nintedanib are described in a separate section below.
2446,26 June 2018 BI 1199.33 Page 3 of 4What were the results of this study?
2447,"In this long-term study, 723 out of 734 patients (99%) had health problems."
2448,Some patients had to stop taking nintedanib because of health problems.
2449,"Overall, 313 patients (43%) stopped treatment because of health problems."
2450,"Some health problems were serious because they required a visit to hospital or a longer stay in hospital, were life-threatening, or fatal."
2451,Health problems were also serious if they led to disability or the doctor thought they were serious for any other reason.
2452,"In this study, 506patients (69%) had serious health problems."
2453,This included 175 patients (24%) who died from serious health problems.
2454,The health problems were similar to those seen in previous studies of nintedanib in patients with IPF.
2455,The most common health problems were with the stomach and bowel.
2456,Researchers found no new safety concerns in this study.
2458,Unwanted effects are any health problems that the doctors thought were caused by nintedanib.
2459,"In this study, 552 out of 734 patients (75%) had unwanted effects."
2460,The most common unwanted effects seen in at least 5% of patients are shown in the table below.
2461,"Nintedanib(734 patients)Patients with any unwanted effect 552 patients (75%)Diarrhoea 465 patients (63%)Nausea 96 patients (13%)Decreased weight 78 patients (11%)Decreased appetite 60 patients (8%)Vomiting 54 patients (7%)Stomach pain (Abdominal pain) 38 patients (5%)Some unwanted effects were serious because they required a visit to hospital or a longer stay in hospital, were life-threatening, or fatal."
2463,"In this study,44 patients (6%) had serious unwanted effects."
2464,This included 1 patient who died from a sudden worsening of IPF.
2465,26 June 2018 BI 1199.33 Page 4 of 4Are there follow-up studies?
2467,"To search for these studies, use the following names: BIBF 1120, nintedanib, OFEV ."
2469,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: BI 1199.33www.clinicaltrialsregister.eu search for the EudraCT number: 2011-002766-21www.clinicaltrials.gov search for the NCT number: NCT01619085The sponsor of this study is Boehringer Ingelheim.
2470,The full title of the study is: An open-label extension trial of the long term safety of oral BIBF 1120 in patients with idiopathic pulmonary fibrosis (IPF) .
2471,This is a Phase 3 study.
2489,Lay summary 1325.119 September 2018 BI 1325.1 Page 1 of 5A study of BI 860585 alone or with exemestane or paclitaxel in patients with different types of cancerThis is a summary of a clinical study in cancer.
2493,"Through your participation, you helped researchers answer important questions about BI 860585 and the treatment of cancer."
2495,Researchers wanted to know the highest dose of BI 860585 patients could tolerate.
2496,"To find this dose, researchers looked at how many patients had certain severe health problems that might have been caused by the treatment."
2497,They studied BI 860585 given alone and with exemestane or with paclitaxel.
2498,Patients in this study had advanced cancer or cancer that had spread.
2499,This was the first time BI 860585 was studied in people.
2500,This study started in September 2013 and finished in June 2017.
2501,"After the highest dose of BI 860585 that patients could tolerate was determined, the study was stopped."
2502,This study was stopped early because the sponsor decided not to complete the study.
2504,"When a new medicine is discovered, researchers need to learn more about what the best dose is for patients."
2505,Patients with advanced cancer often need to take more than one treatment for their cancer.
2506,"Therefore, researchers needed to find the highest dose of BI 860585 patients could tolerate when taking BI 860585 alone or together with other treatments for cancer."
2508,Researchers studied the medicine BI 860585.
2509,It is being developed to help stop cancer from growing and spreading.
2510,BI 860585 is a tablet that patients swallow.
2511,Exemestane is a medicine used to treat breast cancer in women after menopause.
2512,It is a tablet that patients swallow.
2513,Paclitaxel is a medicine used to treat some types of cancer.
2514,It is given directly into a vein through a needle.
2515,19 September 2018 BI 1325.1 Page 2 of 5Who participated in the study?
2516,Adult patients with different types of cancer that was advanced or had spread could takepart in this study.
2517,The patients had to have already taken cancer treatment that was not able to help slow the growth of their cancer.
2518,A total of 90 patients were treated.
2519,"More patients were planned for the study, but the study was stopped early."
2520,42 patients were men and 48 patients were women.
2522,The youngest patient was 20 years old.
2523,The oldest patient was 79 years old.
2524,Half of the patients were in Belgium and half were in Italy.
2526,The patients in this study took BI 860585 alone or BI 860585 with another treatment.
2527,The treatment each patient took depended on when they started the study and which treatmentthe doctors thought was best for treating their cancer.
2528,41 patients took BI 860585 once a day.
2529,25 patients took BI 860585 once a day and exemestane 25 mg once a day.
2530,24 patients took BI 860585 once a day.
2531,They were also given paclitaxel once a week at the standard approved dose of 60 mg or 80 mg per square metre of body surface area.
2532,Researchers wanted to find the highest dose of BI 860585 that patients could tolerate alone or together with exemestane or paclitaxel during their first cycle of treatment.
2534,One cycle of treatment was 28 days.
2535,"To find the maximum tolerated dose, researchers looked at how many patients had certain sever health problems that might have been caused by treatment."
2537,The patients and their doctors knew which treatment and the dose of BI 860585 they were taking.
2538,"As long as a patient did not have a health problem they could not tolerate, they could take their study medicine for as long as their cancer did not grow."
2541,19 September 2018 BI 1325.1 Page 3 of 5What were the results of this study?
2542,"During the first cycle of treatment, 4 patients (11%) treated with BI 860585 alone had dose-limiting toxicities."
2543,"For the patients treated with BI 860585 alone, the maximum tolerated dose of BI 860585 was 220 mg daily."
2544,"During the first cycle of treatment, 4 patients (19%) treated with BI 860585 and exemestane had to stop taking study medicine because of health problems."
2545,"For the patients treated with BI 860585 and 25 mg exemestane, the maximum tolerated dose of BI 860585 was 160 mg daily."
2546,"During the first cycle of treatment, 2 patients (11%) treated with BI 860585 and paclitaxel had to stop taking study medicine because of health problems."
2547,"For the patients treated with BI 860585 and 80 mg per square metre paclitaxel, the maximum tolerated dose of BI 860585 was 160 mg daily."
2550,"In this study, 2 patients (11%) treated with BI 860585 and paclitaxel had to stop taking study medicine because of health problems."
2551,36 out of 41 patients (88%) treated with BI 860585 alone had unwanted effects.
2552,24 out of 25 patients (96%) treated with BI 860585 and exemestane had unwanted effects.
2553,All 24 patients treated with BI 860585 and paclitaxel had unwanted effects.
2554,19 September 2018 BI 1325.1 Page 4 of 5The following table shows the most common unwanted effects seen in at least 40% of patients in any of the treatment groups.
2555,"BI 860585(41 patients)BI 860585 and exemestane(25 patients)BI 860585 and paclitaxel(24 patients)Too much sugar in the blood (hyperglycaemia)22 patients (54%)9 patients(36%)13 patients(54%)Diarrhoea16 patients (39%)10 patients (40%)14 patients(58%)Feeling tired (fatigue)10 patients (24%)9 patients(36%)14 patients(58%)Mouth sores (stomatitis)9 patients(22%)10 patients (40%)7 patients(29%)Decreased appetite9 patients(22%)7 patients(28%)11 patients(46%)Anaemia1 patient(2%)1 patient(4%)12 patients(50%)Some unwanted effects were serious because they required a visit to or a longer stay in hospital, or were life-threatening."
2557,"In this study, 7 patients (17%) treated with BI 860585 alone had serious unwanted effects."
2558,4 patients (16%) treated with BI 860585 and exemestane had serious unwanted effects.
2559,3 patients (13%) treated with BI 860585 and paclitaxel had serious unwanted effects.
2562,"If more clinical studies with BI 860585 are done, they may be found on the public websites listed in the section below."
2563,"To search for these studies, use the following names: BI 860585."
2564,19 September 2018 BI 1325.1 Page 5 of 5Where can I find more information?
2565,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1325.1www.clinicaltrials.gov search for the NCT number: NCT01938846The sponsor of this study was Boehringer Ingelheim.
2566,The full title of the study is: An open-label Phase I dose-finding study of BI 860585 administered orally in a continuous dosing schedule as single agent and in combination with exemestane or with paclitaxel in patients with various advanced and/or metastatic solid tumours .
2574,Icons Fotolia by Matthias Enterhttp://www.trials.boehringer-ingelheim.com/http://www.clinicaltrials.govhttps://clinicaltrials.gov/show/NCT01938846 What was this study about?
2584,1199-0238-lay-summary_english05 September 2018 BI 1199.238 Page 1 of 3A study to look at the effect of nintedanib on birth control medicinein patients with lung cancerThis is a summary of a clinical study of a substance called nintedanib.
2586,It includes information about how researchers did the study and what happened during the study.
2587,We thank the patients who took part in this study.
2589,Some medicines may affect the amount of hormonal birth control medicine in the blood.
2590,This can make the birth control medicine (the pill) less effective.
2591,Researchers wanted to find out whether a drug called nintedanib influences the amount of birth control medicine in the blood.
2592,This study started in June 2016 and finished in November 2017.
2593,This study was stopped early because fewer patients entered the study than were planned.
2595,Nintedanib is a medicine that is approved in some countries to treat a type of lung cancer called non-small cell lung cancer (NSCLC).
2596,Nintedanib is also approved in more than 60 countries to treat idiopathic pulmonary fibrosis.
2597,Women who could get pregnant must usehighly effective methods of birth control while taking nintedanib.
2598,This is because nintedanib could harm an unborn baby.
2599,Researchers wanted to find out if nintedanib had any influence on how much of the birth control medicine was in patients' blood.
2600,They planned to use the results from this study to advise patients about the type of birth control to use.
2604,It is used to treat a certaintype of lung cancer in combination with chemotherapy (docetaxel).
2606,05 September 2018 BI 1199.238 Page 2 of 3Ethinylestradiol and levonorgestrel are components of a commonly used birth control medicine.
2607,This birth control medicine is taken as a tablet by mouth.
2609,The study included women with NSCLC who were planning to start treatment with nintedanib.
2610,"Overall, 2 patients took part in the study, out of 24 patients planned."
2611,The average age was 67.
