Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
Other historical terms include `` breakheart fever '' and `` la dengue '' .	For example , dengue was also called `` breakheart fever '' and `` la dengue . ''
Symptoms include fever , headache , muscle and joint pains , and a characteristic skin rash that is similar to measles .	Some of the symptoms of dengue fever are fever ; headache ; a skin rash that looks like measles ; and pain in the muscles and joints .
The characteristic symptoms of dengue are sudden-onset fever , headache ( typically located behind the eyes ) , muscle and joint pains , and a rash .	The classic symptoms of dengue fever are a fever that begins suddenly ; a headache ( usually behind the eyes ) ; a rash ; and muscle and joint pains .
Dengue hemorrhagic fever was subdivided further into grades I-IV .	In the WHO 's old system of classification , dengue hemorrhagic fever was divided into four stages , called grades I-IV : Dengue fever can be diagnosed by microbiological laboratory testing .
It is not entirely clear why secondary infection with a different strain of dengue virus places people at risk of dengue hemorrhagic fever and dengue shock syndrome .	Less than 5 % of people with dengue get circulatory shock , dengue shock syndrome , and dengue hemorrhagic fever .
The term `` breakbone fever '' was applied by physician and United States Founding Father Benjamin Rush , in a 1789 report of the 1780 epidemic in Philadelphia .	The name `` breakbone fever '' was first used by Benjamin Rush , a doctor and United States `` Founding Father '' .
In a small proportion of cases the disease develops into the life-threatening dengue hemorrhagic fever , resulting in bleeding , low levels of blood platelets and blood plasma leakage , or into dengue shock syndrome , where dangerously low blood pressure occurs .	The second is dengue shock syndrome , which causes dangerously low blood pressure .
The term dengue fever came into general use only after 1828 .	The term `` dengue fever '' was not commonly used until after 1828 .
Slaves in the West Indies having contracted dengue were said to have the posture and gait of a dandy , and the disease was known as `` dandy fever '' .	In the West Indies , slaves that had dengue were said to stand and walk like `` a dandy '' .
Infection of the heart and acute liver failure are among the rarer complications .	Although this almost never happens , dengue can also cause infection of the heart and acute liver failure .
All tests may be negative in the early stages of the disease .	When dengue is in the early stages of the disease , all of these tests may be negative ( meaning they do not show that the person has the disease ) .
Dengue fever ( UK \/ ˈdɛŋɡeɪ \/ or US \/ ˈdɛŋɡiː \/ ) , also known as breakbone fever , is a mosquito-borne tropical disease caused by the dengue virus .	Dengue fever is an infection caused by the dengue virus .
Dengue can occasionally affect several other body systems , either in isolation or along with the classic dengue symptoms .	A person can have symptoms alone , or along with the classic dengue symptoms .
Some petechiae ( small red spots that do not disappear when the skin is pressed , which are caused by broken capillaries ) can appear at this point , as may some mild bleeding from the mucous membranes of the mouth and nose .	The person may also have mild bleeding from the mucous membranes of the mouth and nose .
The origins of the Spanish word dengue are not certain , but it is possibly derived from dinga in the Swahili phrase Ka-dinga pepo , which describes the disease as being caused by an evil spirit .	Some people think that it comes from the Swahili phrase Ka-dinga pepo .
There may also be organ dysfunction and severe bleeding , typically from the gastrointestinal tract .	The person can also have severe bleeding ( usually from the gastrointestinal tract . )
Tests for dengue virus-specific antibodies , types IgG and IgM , can be useful in confirming a diagnosis in the later stages of the infection .	However , antibody tests can confirm that a person has dengue in the later stages of the infection .
The peripheral nervous system is divided into the somatic nervous system and the autonomic nervous system ; some textbooks also include sensory systems .	The peripheral nervous system is divided into the somatic nervous system ( SNS ) and the autonomic nervous system ( ANS ) .
The peripheral nervous system ( PNS ) is the part of the nervous system consisting of the nerves and ganglia outside of the brain and spinal cord .	The Peripheral nervous system , or PNS , is part of the nervous system , and consists of the nerves and neurons that are outside the central nervous system ( the brain and spinal cord ) and serve the limbs and organs , for example .
Range of MIM codes : Method of inheritance These codes have been used in the medical literature to provide a unified index to genetic diseases .	Range of MIM codes : Method of inheritance These codes have been used in the medical literature to provide a unified index to genetic diseases .
Wherever a trait defined in this dictionary has a MIM number , the number from the 12th edition of MIM , is given in square brackets with or without an asterisk ( asterisks indicate that the mode of inheritance is known ; a number symbol ( # ) before an entry number means that the phenotype can be caused by mutation in any of two or more genes ) as appropriate e.g. , Pelizaeus-Merzbacher disease ( MIM # 312080 ) is an X-linked recessive disorder .	The MIM number is printed in square brackets with or without an asterisk ( asterisks indicate that the mode of inheritance is known ; a number symbol ( # ) before an entry number means that the phenotype can be caused by mutation in any of two or more genes ) as appropriate .
Every disease and gene is assigned a six digit number of which the first number classifies the method of inheritance .	Every disease and gene is given a six digit number .
Online Mendelian Inheritance in Man ( OMIM ) is a database that catalogues all the known diseases with a genetic component , and - when possible - links them to the relevant genes in the human genome and provides references for further research and tools for genomic analysis of a catalogued gene .	Online Mendelian Inheritance in Man ( OMIM ) is a database that keeps track of all known diseases with a genetic cause .
Thaxter died on August 14 , 2012 , in Longwood , Florida , after an eight - or nine-year battle with Alzheimer 's disease .	Thaxter died on August 14 , 2012 in her home in Longwood , Florida from Alzheimer 's disease , aged 92 .
Thaxter 's career stalled after an attack of polio in 1952 .	Thaxter 's career ended for a while after being ill of polio in 1952 .
The effects of child sexual abuse can include depression , post-traumatic stress disorder , anxiety , complex post-traumatic stress disorder , propensity to further victimization in adulthood , and physical injury to the child , among other problems .	These effects can include depression , post-traumatic stress disorder , anxiety , a higher chance of later abuse , and physical injury .
Child sexual abuse may cause infections and sexually transmitted diseases .	Sexual abuse does emotional harm to children .
Sociobiology investigates social behaviors , such as mating patterns , territorial fights , pack hunting , and the hive society of social insects .	Ethology investigates collective animal behavior , such as mating patterns , territorial fights , pack hunting , and the hive society of social insects .
The gut is U-shaped with the anterior mouth at the center of the lophophore .	The gut is U-shaped with the anterior mouth at the center of the lophophore .
The anus , where present , is also anterior , but is dorsal to the mouth .	The anus , where present , is also anterior , and is above the mouth .
He died intestate in Sydney on 21 July 1868 of pneumonia , and was accorded a State Funeral .	He died in Sydney on 21 July 1868 of pneumonia , and was given a State Funeral .
Hepatitis B is an infectious illness of the liver caused by the hepatitis B virus ( HBV ) that affects hominoidea , including humans .	Hepatitis B is a disease of the liver .
Her husband and her only child , a son named Bernard , both died in 1884 .	Both her husband and son died of tuberculosis in 1884 .
Specialized types of neurons include : sensory neurons which respond to touch , sound , light and all other stimuli affecting the cells of the sensory organs , that then send signals to the spinal cord and brain ; motor neurons that receive signals from the brain and spinal cord , to cause muscle contractions , and affect glandular outputs , and interneurons which connect neurons to other neurons within the same region of the brain or spinal cord , in neural networks .	Sensory neurons carry signals from sense organs to the spinal cord and brain .
May Lemke developed Alzheimer 's disease and died on November 6 , 1993 .	May Lemke developed Alzheimer 's disease and died on November 6 , 1993 .
At birth , he was diagnosed with glaucoma , cerebral palsy , and brain damage .	At birth , he was diagnosed with glaucoma , cerebral palsy , and brain damage .
Arnold died at the Norfolk and Norwich University Hospital , Norwich , on 23 September 2006 , after suffering from a chest infection .	Arnold died from a chest infection in September 2006 .
Some audience members experienced motion sickness and even vomiting as a result .	Some viewers had gotten motion sickness and even vomited as a result .
However , this does not necessarily make it a non-psychological condition .	It can be caused by : also psychological phobias .
In 1831 , an outbreak of cholera devastated the region and eliminated most if not all of the Mandaean religious authorities .	In 1831 , an outbreak of cholera devastated the region and eliminated most if not all of the Mandaean religious authorities .
The initial infection with varicella zoster virus ( VZV ) causes the acute , short-lived illness chickenpox which generally occurs in children and young adults .	Shingles is a viral disease produced by the varicella zoster virus ( VZV ) , the same virus that causes chicken pox .
Herpes zoster ( or simply zoster ) , commonly known as shingles and also known as zona , is a viral disease characterized by a painful skin rash with blisters in a limited area on one side of the body ( left or right ) , often in a stripe .	Herpes zoster ( also known as Shingles or Zona ) is a disease in humans .
The cannula is attached by tubing to a bottle and a pump that provides a vacuum to remove tissue from the uterus .	The cannula is attached to a bottle and a pump that create a vacuum .
A curette is used to scrape the lining of the uterus and remove tissue in the uterus .	The doctor may also use a curette to scrape out the lining of the uterus .
Forceps are inserted into the uterus through the vagina and used to extract any remaining tissue .	The doctor may use forceps to take out any tissue that is still in the uterus .
Research suggests that apple juice increases acetylcholine in the brain , possibly resulting in improved memory .	Research from the University of Massachusetts Lowell shows that apple juice also increases acetylcholine in the brain , which gets you increased memory .
Gustav Stresemann died of a stroke in October 1929 at the age of 51 .	Gustav Stresemann died of a stroke in October 1929 at the age of 51 .
His wife acknowledged that the attack was not stress-related , but rather a family issue , with Len 's mother having died from a heart attack at 47 .	His wife acknowledged that the attack was not stress-related , but rather a family issue , with Len 's mother having died from a heart attack at 47 .
On 31 May 2008 he suffered a heart attack , while at a music awards ceremony .	On 31 May 2008 he suffered a heart attack while at a music awards ceremony , and was admitted to Auckland Hospital .
Bipolar disorder ( also known as bipolar affective disorder , manic-depressive disorder , or manic depression ) is a mental illness typically classified as a mood disorder .	Bipolar disorder ( also known as manic depression ) is a form of mental illness characterised by repeated episodes of elevated ( mania ) and lowered mood ( depression ) .
The wedding was not completed , however , due to constant disruptions and Long having a heart attack just as he started to say `` I do '' .	However , the wedding was not completed due to constant disruptions and Long having a ( kayfabe ) heart attack just as he started to say `` I do '' .
Since the brain has stopped functioning , the hormone levels and blood pressure must be regulated by intensive care unit ( ICU ) personnel .	Since the brain does not work , the hormone levels and blood pressure must be controlled by doctors to keep the organs alive .
Since the protective ability of influenza vaccines depends primarily on the closeness of the match between the vaccine virus and the epidemic virus , the presence of nonreactive H3N2 SIV variants suggests current commercial vaccines might not effectively protect pigs from infection with a majority of H3N2 viruses .	Since the protective ability of influenza vaccines depends primarily on the closeness of the match between the vaccine virus and the epidemic virus , the presence of non-reactive H3N2 SIV variants suggests that current commercial vaccines might not effectively protect pigs from infection with a majority of H3N2 viruses .
The United States Department of Agriculture researchers say while pig vaccination keeps pigs from getting sick , it does not block infection or shedding of the virus .	The United States Department of Agriculture researchers say that while pig vaccination keeps pigs from getting sick , it does not block infection or shedding of the virus .
The swine flu in humans is most contagious during the first five days of the illness , although some people , most commonly children , can remain contagious for up to ten days .	The swine flu in humans is most contagious during the first five days of the illness although some people , most commonly children , can be contagious for up to ten days .
Avian influenza virus H3N2 is endemic in pigs in China , and has been detected in pigs in Vietnam , increasing fears of the emergence of new variant strains .	The bird flu virus H3N2 is endemic in pigs in China .
Swine influenza virus ( SIV ) or swine-origin influenza virus ( S-OIV ) is any strain of the influenza family of viruses that is endemic in pigs .	Swine influenza virus is sometimes called SIV or swine flu .
Swine influenza virus is common throughout pig populations worldwide .	Swine influenza virus is a virus that is common in pigs .
These H5N1 infections may be quite common ; in a survey of 10 apparently healthy pigs housed near poultry farms in West Java , where avian flu had broken out , five of the pig samples contained the H5N1 virus .	Five of the pig samples contained the H5N1 virus .
Vaccines are available for different kinds of swine flu .	There are different types , or strains , of swine flu .
As of 2009 , the known SIV strains include influenza C and the subtypes of influenza A known as H1N1 , H1N2 , H2N1 , H3N1 , H3N2 , and H2N3 .	They are called H1N1 , H1N2 , H3N1 , H3N2 , and H2N3 .
Influenza viruses infect both humans and pigs , but do not infect birds .	This type of influenza virus can also infect humans and birds .
These strains of swine flu rarely pass from human to human .	It resulted from a combination of several strains of influenza in humans and influenza in birds as well as swine influenza .
Swine influenza , also called pig influenza , swine flu , hog flu and pig flu , is an infection caused by any one of several types of swine influenza viruses .	Because of this , it is hard to tell the difference between ` normal ' influenza and swine influenza . )
Of the three genera of influenza viruses that cause human flu , two also cause influenza in pigs , with influenza A being common in pigs and influenza C being rare .	Pigs can carry human influenza viruses .
In 1998 , swine flu was found in pigs in four U.S. states .	Swine flu is common in pigs .
Prevention of human-to-human transmission Influenza spreads between humans when infected people cough or sneeze , then other people breathe in the virus or touch something with the virus on it and then touch their own face .	It is believed to be spread between humans when an infected person coughs or sneezes and then touches something .
Because these symptoms are not specific to swine flu , a differential diagnosis of probable swine flu requires not only symptoms , but also a high likelihood of swine flu due to the person 's recent history .	The main symptoms of the swine influenza is much the same as regular influenza .
Because of its limited host range and the lack of genetic diversity in influenza C , this form of influenza does not cause pandemics in humans .	The changes in the flu virus can cause a flu pandemic .
Females are only fertile during certain phases of the tidal cycle ; the ability to perceive the phase of the moon may therefore help prevent wasted mating efforts .	Females are only fertile during certain phases of the tidal cycle ; the ability to perceive the phase of the moon may therefore help prevent wasted mating efforts .
Griffith later admitted to having problems with cocaine and liquor after her divorce from Bauer .	Griffith later said she had problems with cocaine and liquor after her divorce from Bauer .
Several neurodegenerative and other diseases are believed to result from the accumulation of amyloid fibrils formed by misfolded proteins .	Several diseases are believed to result from misfolded proteins .
She died from the 1918 flu pandemic .	She died from the 1918 flu pandemic .
After serving in the Royal Flying Corps during the First World War , he maintained his reputation when cricket resumed in 1919 , but his career was threatened by appendicitis , which caused him to miss most of the 1921 season .	After the war , Hobbs was again successful against Australia , but his career was threatened by appendicitis which caused him to miss most of the 1921 season .
Two former members died within a few years of each other in the early 2000s ; Joe Nanini died of a brain hemorrhage on December 4 , 2000 , and Marc Moreland died of kidney and liver failure on March 13 , 2002 .	Guitarist Marc Moreland died of kidney and liver failure on March 13 , 2002 .
The term Chlamydia infection can also refer to infection caused by any species belonging to the bacterial family Chlamydiaceae .	The term Chlamydia infection can also refer to infections caused by any species belonging to the bacterial family Chlamydiaceae .
Chlamydia is a major infectious cause of human genital and eye disease .	Chlamydia is a major infectious cause of human genital and eye disease .
Chlamydia conjunctivitis or trachoma is a common cause of blindness worldwide .	Chlamydia conjunctivitis or trachoma is a common cause of blindness worldwide .
If left untreated , chlamydial infections can cause serious reproductive and other health problems with both short-term and long-term consequences .	Untreated , chlamydial infections can cause serious reproductive and other health problems with both short-term and long-term consequences .
Chlamydia can be transmitted during vaginal , anal , or oral sex , and can be passed from an infected mother to her baby during childbirth .	Chlamydia can be transmitted during vaginal , anal , or oral sex .
Between half and three-quarters of all women who have a chlamydia infection of the cervix ( cervicitis ) have no symptoms and do not know that they are infected .	Between half and three-quarters of all women who have chlamydia have no symptoms and do not know that they are infected .
Chlamydia infection ( from the Greek , χλαμύδα meaning `` cloak '' ) is a common sexually transmitted infection in humans caused by the bacterium Chlamydia trachomatis .	Chlamydia infection ( from the Greek , χλαμύδος meaning `` cloak '' ) is a common sexually transmitted infection ( STI ) in humans .
Chlamydia infection is one of the most common sexually transmitted infections worldwide ; it is estimated that about 1 million individuals in the United States are infected with chlamydia .	The infection is one of the most common sexually transmitted infections in people worldwide - about 2.8 million cases of chlamydia infection occur in the United States each year .
Bacterial croup may be divided into laryngeal diphtheria , bacterial tracheitis , laryngotracheobronchitis , and laryngotracheobronchopneumonitis .	Bacterial croup includes laryngeal diphtheria , bacterial tracheitis , laryngotracheobronchitis , and laryngotracheobronchopneumonitis .
Other viral causes include influenza A and B , measles , adenovirus and respiratory syncytial virus ( RSV ) .	Other viruses that can cause croup include influenza A and B , measles , adenovirus and respiratory syncytial virus ( RSV ) .
In cases of possible secondary bacterial infection , the antibiotics vancomycin and cefotaxime are recommended .	The antibiotics vancomycin and cefotaxime are recommended for bacterial infections .
The most common bacteria implicated are Staphylococcus aureus , Streptococcus pneumoniae , Hemophilus influenzae , and Moraxella catarrhalis .	The most common bacteria that cause croup areStaphylococcus aureus , Streptococcus pneumoniae , Hemophilus influenzae , and Moraxella catarrhalis .
Laryngeal diphtheria is due to Corynebacterium diphtheriae while bacterial tracheitis , laryngotracheobronchitis , and laryngotracheobronchopneumonitis are usually due to a primary viral infection with secondary bacterial growth .	Corynebacterium diphtheriae causes laryngeal diphtheria ; bacterial tracheitis , laryngotracheobronchitis , and laryngotracheobronchopneumonitis come from a virus infection , followed by a bacteria infection .
While epinephrine typically produces a reduction in croup severity within 10-30 minutes , the benefits last for only about 2 hours .	While epinephrine reduces croup severity within 10-30 minutes , the benefits last for only about 2 hours .
Drooling or a very sick appearance indicate other medical conditions .	Drooling or a sick appearance can mean a different illness .
In severe cases associated with influenza A or B , the antiviral neuraminidase inhibitors may be administered .	In severe cases associated with influenza A or B , theanti neuraminidase inhibitors can be given .
Spasmodic croup is caused by the same group of viruses as acute laryngotracheitis , but lacks the usual signs of infection ( such as fever , sore throat , and increased white blood cell count ) .	Spasmodic croup ( croup with barking ) does not have the usual signs of infection , such as fever , sore throat , and increased white blood cell count ) .
Corticosteroids , such as dexamethasone and budesonide , have been shown to improve outcomes in children with all severities of croup .	Corticosteroids , such as dexamethasone and budesonide , can be used to treat croup .
Viral croup or acute laryngotracheitis is caused by parainfluenza virus , primarily types 1 and 2 , in 75 % of cases .	In 75 % of cases , the parainfluenza virus , mainly types 1 and 2 , causes croup .
While other treatments for croup have been studied , none have sufficient evidence to support their use .	There is not enough evidence that other treatments for croup are helpful .
Croup is characterized by a `` barking '' cough , stridor , hoarseness , and difficult breathing which usually worsens at night .	Croup symptoms include a `` barking '' cough , stridor ( a high pitched sound typically when breathing in ) , hoarseness , and difficult breathing that are worse at night .
Moderate to severe croup may be improved temporarily with nebulized epinephrine .	Moderate to severe croup can be helped with nebulized epinephrine ( an inhaled solution that widens the airway ) .
Since croup is usually a viral disease , antibiotics are not used unless secondary bacterial infection is suspected .	Since most cases of croup is are diseases , antibiotics are not used unless bacteria are also suspected .
During this time , the female feeds the developing offspring with a milky substance secreted by a modified gland in the uterus .	During this time , the female feeds the developing offspring with a milky substance secreted by a modified gland in the uterus .
Joss Whedon posted a message on a popular fan site , The Bronze : Beta , in which he expressed his dismay and surprise , saying he was `` heartbroken '' and compared it to a `` healthy guy falling dead from a heart attack . ''	Joss Whedon posted a message on a popular fan site , The Bronze : Beta , in which he showed his surprise .
She has said that she feels that she actually had borderline personality disorder .	She believes that she was misdiagnosed and that she actually had borderline personality disorder .
In 1742 Maria Anna took over power as regent after her husband suffered a stroke , which left him partially paralyzed .	She was the mother of six children : In 1742 Maria Anna took over power as regent after her husband suffered a stroke , which left him partially paralyzed .
Severe malaria is usually caused by P. falciparum ( often referred to as falciparum malaria ) .	Falciparum malaria has the most complications .
Vector control refers to methods used to decrease malaria by reducing the levels of transmission by mosquitoes .	Vector control is one way to stop malaria .
Disease transmission can be reduced by preventing mosquito bites by using mosquito nets and insect repellents , or with mosquito-control measures such as spraying insecticides and draining standing water .	When sleeping outside , people use a mosquito net .
Infection with P. falciparum may result in cerebral malaria , a form of severe malaria that involves encephalopathy .	P. falciparum is the most dangerous type of malaria .
SIUT was founded by Dr. Adibul Hasan Rizvi and it is Pakistan 's largest kidney disease center , as well as Pakistan 's largest public sector health organization .	It was founded by Dr. Syed Adeebul Hasan Rizvi and it is the country 's largest kidney disease center , as well as Parkistan 's largest public sector health organization .
The appendix is located near the junction of the small intestine and the large intestine .	The appendix is near the junction of the small intestine and the large intestine .
In the early 1970s , she became a founding member of The Furies Collective , a lesbian feminist newspaper collective which held that heterosexuality was the root of all oppression .	In the 1970s , she became helped start The Furies Collective , a lesbian feminist newspaper collective which said that heterosexuality was the cause of all oppression .
Gertrude Baines married Sam Conley at a `` very young age '' and had a daughter , Annabelle , born in 1909 , who died of typhoid fever at the age of 18 .	Gertrude Baines married Sam Conley at a very young age and had one daughter who died of typhoid fever at the age of 18 .
He was hanged , drawn and quartered - strangled by hanging , but released while he was still alive , emasculated , eviscerated and his bowels burnt before him , beheaded , then cut into four parts .	It meant he was strangled by hanging but released while he was still alive , his body cut open , and his bowels burnt before him .
In general , sexual activities that cause air to enter the vagina can lead to a fatal air embolism , and the risk is probably even higher during pregnancy .	In general , sexual activities that cause air to enter the vagina can lead to a fatal air clot , and the risk is probably even higher during pregnancy .
Fisting can cause laceration or perforation of the vagina , perineum , rectum , and\/or colon , resulting in serious injury and even death .	Fisting can cause lacerations to the vagina , perineum , rectum , and\/or colon .
The practice , along with the insertion of hard objects into the anus , has been significantly related to the traumatization of the rectal mucosa in increasing the likelihood of infection , including Hepatitis B.	The practice , along with the insertion of hard objects into the anus , or the vagina has been significantly related to the traumatization of the vaginal or rectal mucosa in increasing the likelihood of infection , including Hepatitis B virus .
Anal fisting carries risks of colorectal perforation ; participants are advised to use latex gloves and lubricant , and designate a safeword , the utterance of which will call an immediate halt to the activity .	Anal fisting carries risks of colorectal tearing ; people doing it should use latex gloves and lubricant , and have a safeword , which they can say when they want it to stop immediately .
In the case of double-fisting , pleasure is derived more from the stretching of the anus or vagina than from the thrusting ( in-and-out ) movement of hands .	Double fisting pleasure depends more on stretching of the anus or vagina rather than thrusting with an in-and-out movement of the hands .
The giant nerve fibers of the cephalopod mantle have been widely used for many years as experimental material in neurophysiology ; their large diameter ( due to lack of myelination ) makes them relatively easy to study compared with other animals .	The giant nerve fibers of the cephalopod mantle have been a favorite experimental material for many years ; their large diameter makes them easier to study .
Excretion is the process by which waste products of metabolism and other non-useful materials are eliminated from an organism .	It is the process of eliminating waste products of metabolism and other non-useful materials .
Some texts do not invoke the gods , however , but merely list the targets of the curse , the crimes or conditions upon which the curse is valid , and\/or the intended ill to befall them .	Some texts do not invoke the gods , but merely list the targets of the curse , the crimes or conditions when the curse is valid , and\/or the intended ill to befall them .
Finally , in 1931 , suffering from the extreme ravages of diabetes that had necessitated the amputation of his left foot , Eugène Ysaÿe died in his house in Brussels and was interred in the Ixelles Cemetery in Brussels .	In 1931 , suffering from diabetes , Eugène Ysaÿe died in his house in Brussels .
Training commonly uses the technique of progressively increasing the force output of the muscle through incremental weight increases and uses a variety of exercises and types of equipment to target specific muscle groups .	Training commonly uses the technique of progressively increasing the force output of the muscle through incremental increases of weight , elastic tension or other resistance , and uses a variety of exercises and types of training equipment to target specific muscle groups .
When properly performed , strength training can provide significant functional benefits and improvement in overall health and well-being , including increased bone , muscle , tendon and ligament strength and toughness , improved joint function , reduced potential for injury , increased bone density , increased metabolism , improved cardiac function , and elevated HDL ( `` good '' ) cholesterol .	When properly performed , strength training can provide significant functional benefits and improvement in overall health and well-being , including increased bone , muscle , tendon and ligament strength , improved joint function , reduced potential for injury , increased bone density , a temporary increase in metabolism , improved cardiac function .
Before the Japanese Grand Prix , Nannini was involved in a helicopter crash and sustained career-ending injuries ( though he would later return to touring car racing ) .	Before the Japanese Grand Prix , Nannini was involved in a helicopter crash and sustained career-ending injuries ( though he would later return to touring car racing ) .
Dissociative identity disorder ( DID ) , previously known as multiple personality disorder ( MPD ) , is a mental disorder on the dissociative spectrum characterized by at least two distinct and relatively enduring identities or dissociated personality states that alternately control a person 's behavior , and is accompanied by memory impairment for important information not explained by ordinary forgetfulness .	Dissociative identity disorder ( DID ) , is a mental disorder .
She had suffered from breast cancer for several years before she died in her sleep at her home in Carry-le-Rouet , Bouches-du-Rhône , on April 21 , 2003 .	She died of the disease in her sleep at her home in Carry-le-Rouet , Bouches-du-Rhône on April 21 , 2003 .
Zinc deficiency affects about two billion people in the developing world and is associated with many diseases .	Almost two billion people have a zinc deficiency .
Altricial , meaning `` requiring nourishment '' , refers to a pattern of growth and development in organisms which are incapable of moving around on their own soon after hatching or being born .	Altricial , meaning `` requiring care '' , refers to a group or kind of creature that is incapable of moving around on its own soon after hatching or being born .
His son became the next Inca without any known dispute after Pachacuti died in 1471 due to a terminal illness , but in future generations , the next Inca had to gain control of the empire by winning enough support from the apos , priesthood , and military to win a civil war or intimidate anyone else from trying to wrest control of the empire .	His son became the next Inca without any known dispute , but in future generations the next Inca had to gain control of the empire by winning enough support from the apos , priesthood , and military to either win a civil war or intimidate anyone else from trying to get control of the empire .
Their mother Marie Josèphe , who never recovered from the loss of her husband , died in March 1767 from tuberculosis .	Charles ' mother , Marie Josèphe , never recovered from the loss of her husband and she died in March 1767 from tuberculosis .
It is one of the rarest forms of synesthesia .	Mozart is said to have had this form of synesthesia .
His best known work is without doubt the short novel The Black Spider ( Die schwarze Spinne ) , a semi-allegorical tale of the plague in form of the titular monster that devastates a Swiss valley community ; first as a result of a pact with the devil born out of need and a second time due to the moral decay that releases the monster from its prison again .	His best known work is without doubt the short novel Die Schwarze Spinne ( The Black Spider ) , a semi-allegorical tale of the plague in form of the titular monster that devastates a Swiss valley community ; first as a result of a pact with the devil born out of need and a second time due to the moral decay that releases the monster from its prison again .
Holiday said she began using hard drugs in the early 1940s .	Holiday said that she began using hard drugs in the early 1940s .
She was arrested for drug possession as she lay dying , and her hospital room was raided .	She was arrested for drug possession as she lay dying and her hospital room was raided by the police .
On May 31 , 1959 , Holiday was taken to Metropolitan Hospital in New York with liver and heart disease .	On May 31 , 1959 , Holiday was taken to the Metropolitan Hospital in New York .
On May 16 , 1947 , she was arrested for possessing narcotics in her New York apartment .	On May 16 , 1947 , Holiday was arrested for the possession of narcotics and drugs in her New York apartment .
Holiday stayed under police guard until she died from pulmonary edema and heart failure caused by cirrhosis of the liver on July 17 , 1959 .	They kept guarding her at the hospital until she died from cirrhosis of the liver on July 17 , 1959 .
According to a survey in 2007 by United Nations Office on Drugs and Crime , 93 % of the opiates on the world market originated in Afghanistan .	In 2007 the United Nations Office on Drugs and Crime said 93 % of the opiates on the world market came from Afghanistan .
Investigators studying the origin of life have produced ribozymes in the laboratory that are capable of catalyzing their own synthesis under very specific conditions , such as an RNA polymerase ribozyme .	Investigators studying the origin of life have produced ribozymes in the laboratory that can catalyze their own synthesis under certain conditions , such as an RNA polymerase ribozyme .
The captain of the Manilus , known in the Victorian Shipping records as the `` Plague ship '' , would not receive his bounty as forty-five of the ship 's 243 passengers had been lost to yellow fever during the journey from Scotland 's shores .	Forty-five of the ship 's 243 passengers had died from yellow fever during the journey from Scotland 's shores .
In his later years , Boyle suffered from kidney disease , and due to complications from this disease , died in a hospital in Wallace on May 7 , 2011 .	Boyle died in Wallace from kidney disease .
Methicillin-resistant Staphylococcus aureus ( MRSA ) is a bacterium responsible for several difficult-to-treat infections in humans .	Methicillin-resistant Staphylococcus aureus , or MRSA , is a bacterium which causes infections in different parts of the body .
Historically , major MRSA clones : ST2470-MRSA-I , ST239-MRSA-III , ST5-MRSA-II , and ST5-MRSA-IV were responsible for causing hospital-acquired MRSA ( HA-MRSA ) infections .	Though most MRSA infections are n't serious , some can be life-threatening .
In anatomy , a ganglion ( \/ ˈɡæŋɡliən \/ GANG-glee-ən ; plural ganglia ) is a nerve cell cluster or a group of nerve cell bodies outside of the central nervous system .	It is a mass of nerve cell bodies .
Cells found in a ganglion are called ganglion cells , though this term is also sometimes used to refer specifically to retinal ganglion cells .	In another usage , ganglion cells are found in the retina of the vertebrate eye .
Initially early farmers simply selected food plants with particular desirable characteristics , and employed these as progenitors for subsequent generations , resulting in an accumulation of valuable traits over time .	Initially early farmers simply selected food plants with particular desirable characteristics , and employed these as progenitors for subsequent generations , resulting in an accumulation of valuable traits over time .
International development agencies believe that breeding new crops is important for ensuring food security by developing new varieties that are higher-yielding , resistant to pests and diseases , drought-resistant or regionally adapted to different environments and growing conditions .	They are higher-yielding , resistant to pests and diseases , drought-resistant or adapted to different environments and growing conditions .
The Declaration of Montreal on Lesbian , Gay , Bisexual , and Transgender Human Rights is a document adopted in Montreal , Quebec , Canada , on July 29 , 2006 , by the International Conference on LGBT Human Rights which formed part of the first World Outgames .	The Declaration of Montreal on Lesbian , Gay , Bisexual , and Transgender Human Rights is a document for human rights of lesbians , gays , bisexuals , and transgendered persons as well as intersex people adopted at an international meeting held in Montreal on 29 July 2006 .
The disease may also be spread through blood transfusion , organ transplantation , eating food contaminated with the parasites , and from a mother to her fetus .	The disease can also be spread by blood transfusion , organ transplantation , or by eating food contaminated with the parasite .
The disease was first described in 1909 by Carlos Chagas after whom it is named .	Carlos Chagas first described it in 1909 .
Chagas disease \/ ˈtʃɑːɡəs \/ , or American trypanosomiasis , is a tropical parasitic disease caused by the protozoan Trypanosoma cruzi and spread mostly by insects known as Triatominae or kissing bugs .	Chagas disease is a disease caused by the protozoan parasite Trypanosoma cruzi .
These mechanisms include phagocytosis , antimicrobial peptides called defensins , and the complement system .	These mechanisms include antimicrobial peptides ( called defensins ) , phagocytosis , and the complement system .
Common autoimmune diseases include Hashimoto 's thyroiditis , rheumatoid arthritis , diabetes mellitus type 1 , and systemic lupus erythematosus .	Common autoimmune diseases include Hashimoto 's thyroiditis , rheumatoid arthritis , Type 1 diabetes , and Lupus erythematosus .
